"HOUSEID","PERSONID","WTPERFIN","WTPERFIN5D","WTPERFIN2D","R_AGE","R_SEX","R_RELAT","WORKER","DRIVER","R_RACE","GCDWORK","OUTOFTWN","USEPUBTR","R_RACE_IMP","R_HISP","PROXY","WHOPROXY","EDUC","LAST30_TAXI","LAST30_RDSHR","LAST30_ESCT","LAST30_PT","LAST30_MTRC","LAST30_WALK","LAST30_BIKE","LAST30_BKSHR","TAXISERVICE","RIDESHARE22","ESCOOTERUSED","PTUSED","TRNPASS","MCTRANSIT","WALKTRANSIT","BIKETRANSIT","BIKESHARE22","USAGE1","USAGE2_1","USAGE2_2","USAGE2_3","USAGE2_4","USAGE2_5","USAGE2_6","USAGE2_7","USAGE2_8","USAGE2_9","USAGE2_10","QACSLAN1","QACSLAN3","PAYPROF","PRMACT","EMPLOYMENT2","DRIVINGOCCUPATION","DRIVINGVEHICLE","WRKLOC","WKFMHM22","WRKTRANS","EMPPASS","SCHOOL1","STUDE","SCHTYP","SCHOOL1C","SCHTRN1","DELIVER","DELIV_GOOD","DELIV_FOOD","DELIV_GROC","DELIV_PERS","RET_HOME","RET_PUF","RET_AMZ","RET_STORE","MEDCOND","MEDCOND6","W_CANE","W_WKCR","W_VISIMP","W_SCCH","W_CHAIR","W_NONE","CONDTRAV","CONDRIDE","CONDNIGH","CONDRIVE","CONDPUB","CONDSPEC","CONDSHARE","CONDNONE","CONDRF","FRSTHM","PARK","PARKHOME","PARKHOMEAMT","PARKHOMEAMT_PAMOUNT","PARKHOMEAMT_PAYTYPE","SAMEPLC","COV1_WK","COV1_SCH","COV1_PT","COV1_OHD","COV2_WK","COV2_SCH","COV2_PT","COV2_OHD","CNTTDTR","R_SEX_IMP","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","HHVEHCNT","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","HHFAMINC_IMP","WBHUR","SBHUR","WTHTNRNT","WTPPOPDN","WTRESDN","WTEEMPDN","WBHTNRNT","WBPPOPDN","WBRESDN","STHTNRNT","STPPOPDN","STRESDN","STEEMPDN","SBHTNRNT","SBPPOPDN","SBRESDN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"9000057415","01",6317.3398209,11560.391503,0,73,"02","07","01","01","01",38.3180122065538,"02","02","01","02","01","-1","07","01","02","02","01","02","02","02","-1",1,-1,-1,20,"01",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",40,"02","-1","01","01","08","01","02","-1","-1","-1","-1",8,8,-9,-9,-9,-9,2,-9,2,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-9","04","-1","02","02","-1","-1","-1","-1",0,"02",1,"01","02","09","04","02",1,"93","08","01",1,1,"09","03","02","05","01","01","01","202204",1,"1037","08","05","-1","80","06","08","08","80","08","08","-1","-1","-1","-1","-1","-1","-1","04","30","06","04","07","05","06","04"
"9000057421","01",5724.3099103,5754.2637918,0,57,"01","07","02","02","03",-1,"02","02","03","02","01","-1","07","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","97",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-7","-1","-1","03","03","-1","-1","-8","-8",0,"01",7,"04","01","09","04","02",4,"91","01","03",7,2,"02","01","05","03","01","04","01","202203",0,"1037","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","20","02","05","08","20","06","04"
"9000057421","02",4120.5665605,4271.8881693,0,52,"01","06","02","02","03",-1,"02","02","03","02","01","-1","07","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","97",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-7","-1","-1","03","03","-1","-1","-8","-8",0,"01",7,"04","01","09","04","02",4,"91","01","03",7,2,"02","01","05","03","01","04","01","202203",0,"1037","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","20","02","05","08","20","06","04"
"9000057421","03",5724.3099103,5754.2637918,0,58,"01","06","02","02","03",-1,"02","02","03","02","01","-1","08","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","97",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-7","-1","-1","03","03","-1","-1","-8","-8",0,"01",7,"04","01","09","04","02",4,"91","01","03",7,2,"02","01","05","03","01","04","01","202203",0,"1037","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","20","02","05","08","20","06","04"
"9000057421","04",4120.5665605,4271.8881693,0,40,"01","06","02","01","03",-1,"02","02","03","02","01","-1","07","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","97",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-7","-1","-1","03","03","-1","-1","-8","-8",0,"01",7,"04","01","09","04","02",4,"91","01","03",7,2,"02","01","05","03","01","04","01","202203",0,"1037","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","20","02","05","08","20","06","04"
"9000057421","05",4120.5665605,4271.8881693,0,52,"01","06","02","01","03",-1,"02","02","03","02","01","-1","07","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","97",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"-8","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-7","-1","-1","03","03","-1","-1","-8","-8",0,"01",7,"04","01","09","04","02",4,"91","01","03",7,2,"02","01","05","03","01","04","01","202203",0,"1037","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","20","02","05","08","20","06","04"
"9000057421","06",4120.5665605,4271.8881693,0,51,"01","06","02","01","03",-1,"02","02","03","02","01","-1","06","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","97",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"-7","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-7","-1","-1","03","03","-1","-1","-8","-8",0,"01",7,"04","01","09","04","02",4,"91","01","03",7,2,"02","01","05","03","01","04","01","202203",0,"1037","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","20","02","05","08","20","06","04"
"9000057421","07",4120.5665605,4271.8881693,0,50,"01","06","02","01","03",-1,"02","02","03","02","01","-1","06","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","97",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"-7","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-7","-1","-1","03","03","-1","-1","-8","-8",0,"01",7,"04","01","09","04","02",4,"91","01","03",7,2,"02","01","05","03","01","04","01","202203",0,"1037","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","20","02","05","08","20","06","04"
"9000057428","01",13223.134286,16773.106688,0,43,"01","07","01","01","01",3.95889193214799,"02","02","01","02","01","-1","04","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,3,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",50,"02","-1","01","01","01","-1","02","-1","-1","-1","-1",2,2,-9,-9,-9,-9,-9,-9,-9,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","-1","-1",-1,"-1","-1","02","-1","04","02","-1","-1","-1","-1",2,"01",1,"03","02","05","03","02",1,"53","05","01",1,1,"01","03","03","03","01","02","01","202203",1,"1029","05","03","-1","40","05","04","06","40","05","04","-1","-1","-1","-1","-1","-1","-1","03","30","05","04","06","20","05","04"
"9000057430","01",331200.41432,499466.14874,0,72,"01","07","02","01","06",-1,"02","02","06","02","01","-1","04","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,10,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","05",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",15,13,0,0,2,1,2,1,2,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","-1","-1",-1,"-1","-1","-1","-1","03","01","-1","-1","02","02",4,"01",2,"01","02","09","04","02",2,"92","10","06",2,2,"10","02","04","02","01","05","01","202204",1,"1037","10","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","05","02","02","03","05","03","02"
"9000057430","02",41720.9199,67211.817199,0,68,"02","01","01","01","01",15.4504314081779,"02","02","01","02","02","01","04","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",40,"02","-1","01","03","01","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-1","03","-1","03","01","02","-1","02","02",2,"02",2,"01","02","09","04","02",2,"92","10","06",2,2,"10","02","04","02","01","05","01","202204",1,"1037","10","05","-1","50","06","05","07","40","05","04","-1","-1","-1","-1","-1","-1","-1","02","05","02","02","03","05","03","02"
"9000057454","01",3000.8875195,0,22246.0260679668,74,"01","07","02","01","01",-1,"02","02","01","02","01","-1","05","02","02","02","02","02","01","02","-1",-1,-1,-1,-1,"-1",-1,1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","05",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",2,2,-9,-9,-9,0,-9,-9,-9,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","02","-1","-1",-1,"-1","-1","-1","-1","03","02","-1","-1","01","-1",1,"01",2,"01","01","03","02","02",1,"31","06","01",2,1,"10","01","05","01","04","06","02","202203",0,"1026","06","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","05","02","02","03","05","02","02"
"9000057454","02",2770.7204492,0,16995.5986404017,73,"02","01","02","02","01",-1,"02","02","01","02","02","01","03","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","05",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",2,2,-9,-9,-9,0,-9,-9,-9,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","08","-1","-1","03","02","-1","-1","01","-1",0,"02",2,"01","01","03","02","02",1,"31","06","01",2,1,"10","01","05","01","04","06","02","202203",0,"1026","06","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","05","02","02","03","05","02","02"
"9000057458","01",3631.4337745,7627.2383099,0,26,"02","07","01","01","01",9.0732450834144,"02","02","01","02","01","-1","05","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",36,"02","-1","01","01","01","-1","02","-1","-1","-1","-1",2,0,2,0,0,0,0,0,0,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","06","02","-1","04","01","-1","-1","-1","02",0,"02",3,"02","02","04","02","02",3,"43","09","01",3,3,"02","03","01","04","04","06","02","202203",2,"1028","09","01","-1","20","01","01","01","30","01","01","-1","-1","-1","-1","-1","-1","-1","01","05","01","01","01","05","01","01"
"9000057458","02",5350.6352845,9313.4312116,0,63,"01","03","02","01","01",-1,"02","02","01","02","02","01","02","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","02","02",-1,"-1","-1","-1","-1","-1","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-8","-1","-1","04","01","-1","-1","-1","02",0,"01",3,"02","02","04","02","02",3,"43","09","01",3,3,"02","03","01","04","04","06","02","202203",2,"1028","09","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","05","01","01","01","05","01","01"
"9000057458","03",9313.4663994,17107.714321,0,60,"02","03","01","01","01",8.18989711933129,"02","02","01","02","02","01","03","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",40,"02","-1","01","01","03","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","-1","-1","-1",-1,"-1","-1","02","-1","04","04","-1","-1","-1","-1",2,"02",3,"02","02","04","02","02",3,"43","09","01",3,3,"02","03","01","04","04","06","02","202203",2,"1028","09","02","-1","30","03","02","03","40","04","03","-1","-1","-1","-1","-1","-1","-1","01","05","01","01","01","05","01","01"
"9000057461","01",18326.859872,0,20977.9361154879,59,"02","07","01","01","02",7.29602805414115,"02","02","02","02","01","-1","08","02","02","02","02","02","02","02","-1",-1,-1,-1,-1,"-1",-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","02","-1","01","-1",40,"02","-1","01","01","01","-1","02","-1","-1","-1","-1",0,-1,-1,-1,-1,-1,-1,-1,-1,"02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","02","-1","-1",-1,"-1","-1","03","-1","04","01","-8","-1","-1","-8",2,"02",2,"01","02","01","01","02",2,"13","08","02",2,2,"02","03","01","01","04","06","02","202204",2,"1022","08","04","-1","40","05","04","06","30","05","01","-1","-1","-1","-1","-1","-1","-1","01","05","01","01","01","05","01","01"
